the_following_sources_are_not_included_in_the_joint_child_malnutrition_estimates_database,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12
JPN,JAPAN,2011,Other,"Ministry of Health, Labour and Welfare (Japan)",Japan National Health and Nutrition Survey 2011,03656,1372,x,x,x,x,x
JPN,JAPAN,2012,Other,"Ministry of Health, Labour and Welfare (Japan), National Institute of Health and Nutrition (Japan)",Japan National Health and Nutrition Survey 2012,03657,1370,x,x,x,x,x
JPN,JAPAN,2013-2015,Other,"Ministry of Health, Labour and Welfare (Japan)",Japan National Health and Nutrition Survey 2013-2015 combined,11259,9299,x,x,x,x,x
JPN,JAPAN,2016,Other,"Ministry of Health, Labour and Welfare (Japan)",Japan National Health and Nutrition Survey 2016,03661,3847,x,x,x,x,x
JPN,JAPAN,2017-2019,Other,"Ministry of Health, Labour and Welfare (Japan)",Japan National Health and Nutrition Survey 2017-2019 combined,11260,9300,x,x,x,x,x
JOR,JORDAN,2007,DHS,Department of Statistics/Jordan and Macro International,"Jordan Population and Family Health Survey 2007. Calverton, Maryland, USA: Department of Statistics/Jordan and Macro International.",02908,1251,x,x,x,x,x
JOR,JORDAN,2017-2018,DHS,Department of Statistics (DOS) and ICF,"Jordan Population and Family and Health Survey  2017-18. Amman, Jordan, and Rockville, Maryland, USA: DOS and ICF",03664,2280,x,x,x,x,x
KGZ,KYRGYZSTAN,1993,LSMS,National Statistical Committee,Kyrgyz 1993 Republic Multipurpose Poverty Survey,05446,1231,,,,x,x
LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,2016-2017,Other,Lao Tropical and Public Health Institute,National Food Consumption Survey Lao PDR 2016-2017,05468,3077,x,x,x,x,x
LBN,LEBANON,1996,PAPFAM,League of Arab States. Pan Arab Project for Child Development; Lebanon. Ministry of Public Health,"Lebanon maternal and child health survey (summary report). PAPCHILD Surveys. Cairo: The League of Arab States, 1998",01660,398,x,x,x,x,x
LBN,LEBANON,2004,PAPFAM,The Arab League and the Repubic of Lebanon.,"Lebanon family health survey 2004: Principal report. Tutelian M, Khayyat M , Monem AA, eds. The Pan Arab Project for Family Health, 2006",02913,399,,,x,,
LSO,LESOTHO,2000,MICS,"Government of Lesotho, Bureau of Statistics and UNICEF.","Kingdom of Lesotho 2000 end decade multiple indicator cluster survey (EMICS). Maseru, Lesotho: Government of Lesotho, Bureau of Statistics and UNICEF, 2002",02366,402,x,x,x,x,x
LSO,LESOTHO,2002,CWIQ,Government of Lesotho(MoFDP); World Bank; East African Statistical Training Centre,"Core Welfare Indicator Questionnaire Survey, Lesotho 2002",03665,1215,x,x,x,x,x
LBR,LIBERIA,2011,Other,UNICEF,Liberia National Micronutrient Survey 2011,00849,1206,x,x,x,x,x
LTU,LITHUANIA,2022,Surveillance,Institute of Hygiene,Lithuania Child Health Monitoring Information System 2022,10208,9135,x,x,x,,x
LTU,LITHUANIA,2023,Surveillance,Institute of Hygiene,Lithuania Child Health Monitoring Information System 2023,11444,9205,x,x,x,,x
MDG,MADAGASCAR,2010,CFSVA,UNICEF; WFP,"Comprehensive Food and Nutrition Security and Vulnerability Analysis, Madagascar 2010",03666,1570,x,x,x,x,x
MWI,MALAWI,2010-2011,LSMS,National Statistics Office (NSO) ,Malawi 2010-11 Integrated Household Panel Survey,03667,1199,x,x,x,x,x
MWI,MALAWI,2013,LSMS,National Statistics Office (NSO),"Malawi Third Integrated Household Panel Survey, 2013",03668,1198,x,x,x,x,x
MWI,MALAWI,2016-2017,LSMS,"National Statistical Office (NSO), Ministry of Economic Planning and Development (MoEPD), Malawi",Malawi Fourth Integrated Household Survey 2016-2017,03669,1678,x,x,x,x,x
MYS,MALAYSIA,2011,Other,Institute for Public Health,Malaysia National Health and Morbidity Survey 2011,03670,839,x,x,x,x,x
MLI,MALI,2012,SMART,INSTAT Mali; Direction Nationale de la Sante,"Enquête Nutritionnelle Anthropométrique et de Mortalité Rétrospective, Mali 2012",03671,1616,x,x,x,x,x
MLI,MALI,2012-2013,DHS,"Cellule de Planification et de Statistiques (CPS/SSDSPF), Institut National de la Statistique (INSTAT), Centre d’Études et d’Information Statistiques (INFO-STAT), ICF International","Enquête Démographique et de Santé au Mali 2012-2013. Rockville, Maryland, USA: CPS, INSTAT, INFO-STAT and ICF International.",05645,840,x,x,x,x,x
MLI,MALI,2013,SMART,INSTAT Mali; Direction Nationale de la Sante,"Enquête Nutritionnelle Anthropométrique et de Mortalité Rétrospective, Mali 2013",03672,1617,x,x,x,x,x
MLI,MALI,2023,SMART,Institut National de la Statistique,"Enquête Nutritionnelle Anthropometrique et de Mortalite Retrospective 13e Edition, Mali 2023",03237,9137,x,x,x,x,x
MRT,MAURITANIA,1990,PAPFAM,Ministry of Planning.,"Mauritania maternal and child health survey 1990-91 (MMCHS). PAPCHILD Surveys. Nouakchott, Islamic Republic of Mauritania; 1992",00444,446,x,x,x,x,x
MNG,MONGOLIA,1997,Other,"Public Health Institute, Ministry of Health (Mongolia)","Mongolia nutrition research centre survey 1997. Ulaanbaatar, Mongolia, 1999",01910,9291,x,x,x,x,x
MOZ,MOZAMBIQUE,2008-2009,Other,Instituto Nacional de Estatística,"Inquérito sobre Orçamento Familiar, 2008/09 – Quadros Básicos",03673,2484,x,x,x,x,x
MOZ,MOZAMBIQUE,2013-2014,Other,Secretariado Técnico de Segurança Alimentar e Nutricional,Relatório de Estudo de Base de Base de Segurança Alimentar e Nutricional em 2013 em Moçambique,03674,810,x,x,x,x,x
NAM,NAMIBIA,2009-2010,Other,Namibia Statistics Agency,Namibia Household Income and Expenditure Survey 2009/2010,03675,827,x,x,x,x,x
NAM,NAMIBIA,2015-2016,Other,Namibia Statistics Agency,Namibia 2015-2016 Household Income and Expenditure Survey,03676,2505,x,x,x,x,x
NPL,NEPAL,2016,Other,"Thomas Walker, Hanan Jacoby, Social Protection and Jobs Global Practice (World Bank)","Household Risk and Vulnerability Survey, Nepal 2016",05990,3530,x,x,x,x,x
NPL,NEPAL,2017,Other,"Thomas Walker, Hanan Jacoby, Social Protection and Jobs Global Practice (World Bank)",Nepal Household Risk and Vulnerability Survey (HRVS) 2017,09919,9292,x,x,x,x,x
NLD,NETHERLANDS (KINGDOM OF THE),1978-1980,Other,"TNO Child Health, Leiden, The Netherlands; VU University Medical Center Amsterdam, EMGO Institute of Health Care Research, Amsterdam, The Netherlands; TNO Life Style, Leiden, The Netherlands; Leiden University Medical Center, Department of Pediatrics, Lei",Netherlands Third Growth Study,03678,4325,x,x,x,x,x
NER,NIGER,2005,CWIQ,Institut National de la Statistique (INS),"Enquête Nationale sur les Conditions de Vie des Ménages, Niger 2005",03679,1410,x,x,x,x,x
NER,NIGER,2017,DHS,Institut National de la Statistique,Enquête Démographique et de Santé du Niger EDSN-V 2017,03680,2015,x,x,x,x,x
NGA,NIGERIA,1999,MICS,"National Bureau of Statistics (Nigeria), United Nations Children's Fund (UNICEF)","Nigeria Multiple Indicator Cluster Survey 1999. Abuja, Nigeria: National Bureau of Statistics (Nigeria)",03681,1157,x,x,x,x,x
NGA,NIGERIA,1999,DHS,National Population Commission - NPC/Nigeria.,"Nigeria Demographic and Health Survey 1999. Calverton, Maryland: NPC/Nigeria and ORC/Macro 2000",06044,1764,x,x,x,x,x
NGA,NIGERIA,2007,MICS,National Bureau of Statistics (NBS).,"Nigeria multiple indicator cluster survey 2007: Final report (MICS). Abuja, Nigeria: NBS, 2007",03037,515,x,x,x,x,x
NGA,NIGERIA,2008,DHS,National Population Commission (NPC) [Nigeria] and ICF Macro.,"Nigeria demographic and health survey 2008. Demographic and Health Surveys. Abuja, Nigeria: National Population Commission and ICF Macro, 2009",02964,516,x,x,x,x,x
NGA,NIGERIA,2011,LSMS,"National Bureau of Statistics (Nigeria), Minnesota Population Center","Nigeria 2010-11 General Household Survey, Wave 1 - Post Harvest",03682,934,x,x,x,x,x
NGA,NIGERIA,2013,LSMS,National Bureau of Statistics,"Nigeria 2012-13 General Household Survey, Wave 2 - Post-Harvest",03683,841,x,x,x,x,x
NGA,NIGERIA,2013,DHS,National Population Commission (NPC) [Nigeria] and ICF International.,"Nigeria demographic and health survey 2013. Demographic and Health Surveys. Abuja, Nigeria, and Rockville, Maryland, USA: NPC and ICF International, 2014",03204,518,x,x,x,x,x
NGA,NIGERIA,2016,LSMS,"National Bureau of Statistics (Nigeria), Minnesota Population Center",Nigeria 2015-16 General Household Survey Wave 3 - Post-Harvest,03684,935,x,x,x,x,x
NGA,NIGERIA,2019,LSMS,National Bureau of Statistics (NBS),"Nigeria General Household Survey, Panel 2018-2019, Wave 4- Post-Harvest",03685,3743,x,x,x,x,x
NGA,NIGERIA,2021-2022,Other,National Bureau of Statistics (NBS) - Federal Government of Nigeria (FGN),"Nigeria Multidimensional Poverty Index Survey 2021, First round",10064,9085,x,x,x,x,x
MKD,NORTH MACEDONIA,2004,Other,"Dimitrovska Z, Kendrovski V, Spiroski I, Gudeva-Nikovska D, Aleksoski B.",Nutritional status and early detection of health risk determinants in childhood. Makedon Med Pregl Suppl. 2006; 60(68): 119,02756,4274,x,x,x,x,x
MKD,NORTH MACEDONIA,2010,NNS,"Institute of Public Health (Macedonia), UNICEF Macedonia","Macedonia national nutrition survey 2011 among women of reproductive age and children 6-59 months of age. Skopje, The former Yugoslave Republic of Macedonia, 2012",03138,1470,x,x,x,x,x
PAK,PAKISTAN,2018-2019,NNS,"Nutrition Wing, Ministry of National Health Services, Regulations and Coordination, Government of Pakistan; UNICEF Pakistan",Pakistan 2018 National Nutrition Survey,03686,2103,x,x,x,x,x
PNG,PAPUA NEW GUINEA,2016-2018,DHS,National Statistical Office -NSO/Papua New Guinea and ICF,"Papua New Guinea Demographic and Health Survey 2016-18. Port Moresby, Papua New Guinea, and Rockville, Maryland, USA: NSO and ICF. 2019",03687,1890,x,x,x,x,x
PRY,PARAGUAY,1997-1998,Other,"La Dirección General de Estadística, Encuestas y Censos (DGEEC)","Paraguay Integrated Household Survey 1997-1998 (Encuesta Integrada de Hogares). Asunción, Paraguay: Department of Statistics, Surveys and Censuses (Paraguay).",03544,1591,,,,x,x
PER,PERU,2006,Other,"Executive Directorate of Food and Nutritional Surveillance (DEVAN) (Peru), Ministry of Health (Peru), National Center for Food and Nutrition, National Institute of Health (Peru), National Institute of Health (Peru), National Institute of Statistics",Monitoreo de Indicadores Nutricionales en la Encuesta Nacional de Hogares 2006,06268,4342,x,x,x,x,x
PER,PERU,2007-2008,Other,"Executive Directorate of Food and Nutritional Surveillance (DEVAN) (Peru), Ministry of Health (Peru), National Center for Food and Nutrition, National Institute of Health (Peru), National Institute of Health (Peru), National Institute of Statistics and In",Monitoreo de Indicadores Nutricionales en la Encuesta Nacional de Hogares 2007 y 2008,06269,4308,x,x,x,x,x
POL,POLAND,2016,NNS,Fundację NUTRICIA,Kompleksowa Ocena Sposobu Żywienia Dzieci W Wieku Od 5 Do 36 Miesiąca Życia – Badanie Ogólnopolskie 2016 Rok,07323,4758,x,x,x,x,x
KOR,REPUBLIC OF KOREA,2007-2009,NHANES,Korea Centers for Disease Control and Prevention (KCDC),South Korea National Health and Nutrition Examination Survey 2007-2009,09398,6857,,,,x,x
ROU,ROMANIA,2006-2011,Other,"Cinteza E, Balgradean M, Mihai Gafencu","Pooled Analysis of Cinteza E, Balgradean M: Hypertension in Romanian children and adolescents: a cross-sectional survey. Maedica (Buc) 2013; 8: 5–10 and Gafencu [Unpublished]",08746,6197,x,x,x,x,x
RUS,RUSSIAN FEDERATION,1994-1995,Other,"National Research University Higher School of Economics, ZAO Demoscope, Carolina Population Center, Univeristy of North Carolina at Chapel Hill, Institute of Sociology, Russian Academy of Sciences.",Russia Longitudinal Monitoring Survey (RLMS-HSE) Round V 1994,06370,4590,x,x,x,,
RUS,RUSSIAN FEDERATION,2006,Other,"National Research University Higher School of Economics, ZAO Demoscope, Carolina Population Center, Univeristy of North Carolina at Chapel Hill, Institute of Sociology, Russian Academy of Sciences.",Russia Longitudinal Monitoring Survey (RLMS-HSE) Round XV 2006,06385,4601,x,x,x,x,x
RUS,RUSSIAN FEDERATION,2007,Other,"National Research University Higher School of Economics, ZAO Demoscope, Carolina Population Center, Univeristy of North Carolina at Chapel Hill, Institute of Sociology, Russian Academy of Sciences.",Russia Longitudinal Monitoring Survey (RLMS-HSE) Round XVI 2007,06386,4602,x,x,x,x,x
RUS,RUSSIAN FEDERATION,2008,Other,"National Research University Higher School of Economics, ZAO Demoscope, Carolina Population Center, Univeristy of North Carolina at Chapel Hill, Institute of Sociology, Russian Academy of Sciences.","Russia Longitudinal Monitoring Survey (RLMS-HSE), Round XVII 2008. National Research University Higher School of Economics, ZAO Demoscope, Carolina Population Center, Univeristy of North Carolina at Chapel Hill, Institute of Sociology, Russian Academy of",06387,4607,x,x,x,x,x
RUS,RUSSIAN FEDERATION,2009,Other,"National Research University Higher School of Economics, ZAO Demoscope, Carolina Population Center, Univeristy of North Carolina at Chapel Hill, Institute of Sociology, Russian Academy of Sciences.","Russia Longitudinal Monitoring Survey (RLMS-HSE), Round XVIII 2009. National Research University Higher School of Economics, ZAO Demoscope, Carolina Population Center, Univeristy of North Carolina at Chapel Hill, Institute of Sociology, Russian Academy of",06388,4608,x,x,x,x,x
RUS,RUSSIAN FEDERATION,2010-2011,Other,"National Research University Higher School of Economics, ZAO Demoscope, Carolina Population Center, Univeristy of North Carolina at Chapel Hill, Institute of Sociology, Russian Academy","Russia Longitudinal Monitoring Survey (RLMS-HSE), Round XIX 2010-2011. National Research University Higher School of Economics, ZAO Demoscope, Carolina Population Center, Univeristy of North Carolina at Chapel Hill, Institute of Sociology, Russian Academy",06389,4609,x,x,x,x,x
RUS,RUSSIAN FEDERATION,2011-2012,Other,"National Research University Higher School of Economics, ZAO Demoscope, Carolina Population Center, Univeristy of North Carolina at Chapel Hill, Institute of Sociology, Russian Academy of Sciences.","Russia Longitudinal Monitoring Survey (RLMS-HSE), Round XX 2011-2012. National Research University Higher School of Economics, ZAO Demoscope, Carolina Population Center, Univeristy of North Carolina at Chapel Hill, Institute of Sociology, Russian Academy",06391,4610,x,x,x,x,x
RUS,RUSSIAN FEDERATION,2012-2013,Other,"National Research University Higher School of Economics, ZAO Demoscope, Carolina Population Center, Univeristy of North Carolina at Chapel Hill, Institute of Sociology, Russian Academy of Sciences","Russia Longitudinal Monitoring Survey (RLMS-HSE), Round XXI 2012-2013. National Research University Higher School of Economics, ZAO Demoscope, Carolina Population Center, Univeristy of North Carolina at Chapel Hill, Institute of Sociology, Russian Academy",06392,4611,x,x,x,x,x
RUS,RUSSIAN FEDERATION,2013-2014,Other,"National Research University Higher School of Economics, ZAO Demoscope, Carolina Population Center, Univeristy of North Carolina at Chapel Hill, Institute of Sociology, Russian Academy of Sciences.","Russia Longitudinal Monitoring Survey (RLMS-HSE), Round XXII 2013-2014.",06393,4612,x,x,x,x,x
RUS,RUSSIAN FEDERATION,2014-2015,Other,"National Research University Higher School of Economics, ZAO Demoscope, Carolina Population Center, Univeristy of North Carolina at Chapel Hill, Institute of Sociology, Russian Academy of Sciences.","Russia Longitudinal Monitoring Survey (RLMS-HSE), Round XXIII 2014-2015. National Research University Higher School of Economics, ZAO Demoscope, Carolina Population Center, Univeristy of North Carolina at Chapel Hill, Institute of Sociology, Russian Acade",06394,4613,x,x,x,x,x
RUS,RUSSIAN FEDERATION,2016,Other,"National Research University Higher School of Economics, ZAO Demoscope, Carolina Population Center, Univeristy of North Carolina at Chapel Hill, Institute of Sociology, Russian Academy of Sciences.",Russia Longitudinal Monitoring Survey (RLMS-HSE) Round XXV 2016,06395,2031,x,x,x,x,x
RUS,RUSSIAN FEDERATION,2017,Other,"National Research University Higher School of Economics, ZAO Demoscope, Carolina Population Center, Univeristy of North Carolina at Chapel Hill, Institute of Sociology, Russian Academy of Sciences.",Russia Longitudinal Monitoring Survey (RLMS-HSE) Round XXVI 2017,06396,4045,x,x,x,x,x
RUS,RUSSIAN FEDERATION,2018,Other,"National Research University Higher School of Economics, ZAO Demoscope, Carolina Population Center, Univeristy of North Carolina at Chapel Hill, Institute of Sociology, Russian Academy of Sciences.",Russia Longitudinal Monitoring Survey (RLMS-HSE) Round XXVII 2018,06397,4614,x,x,x,x,x
RUS,RUSSIAN FEDERATION,2018,NNS,Federal State Statistics Service (Rosstat),"Population Diet Survey, Russian Federation 2018",11404,9301,x,x,x,x,x
RUS,RUSSIAN FEDERATION,2019,Other,"National Research University Higher School of Economics, ZAO Demoscope, Carolina Population Center, Univeristy of North Carolina at Chapel Hill, Institute of Sociology, Russian Academy of Sciences.",Russia Longitudinal Monitoring Survey (RLMS-HSE) Round XXVIII 2019,06398,4615,x,x,x,x,x
RUS,RUSSIAN FEDERATION,2023,NNS,ROSSTAT,"Population Diet Survey, Russian Federation 2023",11403,9302,x,x,x,x,x
RWA,RWANDA,2000,MICS,Ministere des Finances et de la Planafication Economique Direction de la Statistique,"Enquete a Indicateur Multiple, MICS2, Rwanda",03075,859,x,x,x,x,x
RWA,RWANDA,2006,CFSVA,National Institute of Statistics - Government of Rwanda; World Food Programme - United Nation,Rwanda Comprehensive Food Security and Vulnerability Analysis 2006,06419,1747,x,x,x,x,x
STP,SAO TOME AND PRINCIPE,2000,MICS,UNICEF.,"Enquête de grappes à indicateurs multiples MICS - rapport d'analyse (projet, 14 juillet 2000). Sao Tome, République Démocratique de Sao Tome et Principe, 2000.",02394,580,x,x,x,x,x
STP,SAO TOME AND PRINCIPE,2008-2009,DHS,Institut National de la Statistique (INE) et le Ministre de la Santé.,"Enquête démographique et de santé à Sao Tomé e Príncipe (EDS-STP) 2008-2009. Rapport préliminaire. Sao Tomé: INE et le Ministre de la Santé, 2009",02946,582,x,x,x,x,x
SAU,SAUDI ARABIA,2021,Surveillance,Saudi Arabia Ministry of Health,Saudi Arabia Ministry of Health Primary Healthcare Centers sited nutritional Surveillance Program [2021 Extract],09867,8966,x,x,x,x,x
SEN,SENEGAL,2006-2007,Other,Agence nationale de la Statistique et de la Démographie,"Enquête sur la pauvreté et la structure familiale, Sénégal, 2006 - 2007",09797,9293,x,x,x,x,x
SEN,SENEGAL,2010-2011,Other,Agence nationale de la Statistique et de la Démographie,"Enquête sur la pauvreté et la structure familiale, Sénégal, 2010 - 2011",09798,9129,x,x,x,x,x
SYC,SEYCHELLES,2017,Surveillance,Department of Health of Seychelles,"Technical report on the analysis of the 2017 Seychelles routine nutrition information data: results, challenges and opportunities. Department of Health of Seychelles.Victoria, Seychelles",09710,8884,x,x,x,x,x
SYC,SEYCHELLES,2019,Surveillance,Ministry of Health,Nutrition surveillance report for Seychelles. 2019 Nutrition data. Ministry of health,09711,8885,x,x,x,x,x
SYC,SEYCHELLES,2021,Surveillance,Ministry of Health,Nutrition surveillance report for Seychelles. 2021 Nutrition data. Ministry of health,10053,9020,x,x,x,x,x
SYC,SEYCHELLES,2022,Surveillance,Ministry of Health,Nutrition surveillance report for Seychelles. 2022 Nutrition data. Ministry of health,10405,9179,x,x,x,x,x
SLE,SIERRA LEONE,2003-2004,Other,Statistics Sierra Leone (SSL) - Government of Sierra Leone,Sierra Leone 2003-04 Integrated Household Survey,03688,1098,x,x,x,x,x
SLE,SIERRA LEONE,2007,CWIQ,Statistics Sierra Leone (SSL) - Government of Sierra Leone,Sierra Leone 2007 Core Welfare Indicators Questionnaire Survey,03689,1099,x,x,x,x,x
SLE,SIERRA LEONE,2008,DHS,Statistics Sierra Leone (SSL) and ICF Macro.,"Sierra Leone demographic and health survey 2008. Demographic and Health Surveys. Calverton, Maryland, USA: Statistics Sierra Leone (SSL) and ICF Macro, 2009",02971,605,x,x,x,x,x
SLE,SIERRA LEONE,2010,MICS,Statistics Sierra Leone and UNICEF-Sierra Leone.,"Sierra Leone multiple indicator cluster survey 2010, Final report (MICS). Freetown, Sierra Leone: Statistics Sierra Leone and UNICEF-Sierra Leone, 2011",03134,606,x,x,x,x,x
SLE,SIERRA LEONE,2013,DHS,Statistics Sierra Leone (SSL) and ICF International.,"Sierra Leone demographic and health survey 2013. Demographic and Health Surveys. Freetown, Sierra Leone and Rockville, Maryland, USA: SSL and ICF International, 2014",03234,607,x,x,x,x,x
SLE,SIERRA LEONE,2018,Other,Statistics Sierra Leone (Stats SL),Sierra Leone Integrated Household Survey (SLIHS) 2018,06567,3687,x,x,x,x,x
SVN,SLOVENIA,2017-2018,Other,National Institute of Public Health of the Republic of Slovenia,Slovenia Third National Dietary Survey,06585,3718,x,x,x,x,x
SOM,SOMALIA,2014-2015,Other,Food Security and Nutrition Analysis Unit - Somalia,Somalia Nutrition Analysis Post Deyr 2014/15,03690,842,x,x,x,x,x
SOM,SOMALIA,2018-2019,Other,"Ministry of Health FGS, FMS, Somaliland, UNICEF, Brandpro, GroundWork","Somalia Micronutrient Survey 2019. Mogadishu, Somalia; 2020",03691,3525,x,x,x,x,x
ZAF,SOUTH AFRICA,1993-1994,LSMS,South Africa Labour Development Research Unit.,"South Africans rich and poor: baseline household statistics. Project for statistics on living standards and development. Cape Town, 1994",01502,614,x,x,x,x,x
ZAF,SOUTH AFRICA,2003,Other,Smuts CM; Faber M; Schoeman SE; Laubscher JA; Oelofse A; Benadé AJS; Dhansay MA,Socio-demographic profiles and anthropometric status of 0- to 71-month-old children and their caregivers in rural districts of the Eastern Cape and KwaZulu-Natal provinces of South Africa. South African Journal of Clinical Nutrition 2008;21:117-26.,02907,9294,x,x,x,x,x
ZAF,SOUTH AFRICA,2003-2004,DHS,"Department of Health, Medical Research Council, OrcMacro.","South Africa demographic and health survey 2003 (SADHS). Demographic and Health Surveys. Pretoria: Department of Health, 2007",03106,617,x,x,x,x,x
ZAF,SOUTH AFRICA,2010-2011,Other,South Africa Labour and Development Research Unit - University of Cape Town,South Africa 2010-11 National Income Dynamics Study,03692,905,x,x,x,x,x
ZAF,SOUTH AFRICA,2012,Other,"Southern Africa Labour Development Research Unit (SALDRU), University of Cape Town",South Africa 2012 National Income Dynamics Study Wave 3,03352,902,x,x,x,x,x
ZAF,SOUTH AFRICA,2012,NHANES,"Shisana O, Labadarios D, Rehle T, Simbayi L, Zuma K, Dhansay A, Reddy P, Parker W, Hoosain E, Naidoo P, Hongoro C, Mchiza Z, Steyn NP, Dwane N, Makoae M, Maluleke T, Ramlagan S, Zungu N, Evans MG, Jacobs L, Faber M, & SANHANES-1 Team (2013)",South African National Health and Nutrition Examination Survey (SANHANES-1). Cape Town: HSRC Press,03693,845,x,x,x,x,x
ZAF,SOUTH AFRICA,2021-2022,NNS,"Simelane, T. Mutanga, S.S. Hongoro, C. Parker, W. Mjimba V. Zuma, K. Kajombo, R. Ngidi, M. Masamha, B. Mokhele, T. Managa, R. Ngungu, M. Sinyolo, S. Tshililo, F. Ubisi, N. Skhosana, Ndinda, C. Sithole, M. Muthige, M. Lunga, W. Tshitangano, F. Dukhi, N., F. Sewpaul, R. Mkhongi, A. Marinda, E.",National Food and Nutrition Security Survey: National Report: HSRC: Pretoria.,00292,9296,x,x,x,x,x
SSD,SOUTH SUDAN,1999,MICS,UNICEF,Progress of Regions: Mutliple Indicator Cluster Survey in the Southern Part of Sudan 2000,03694,1082,x,x,x,x,x
SSD,SOUTH SUDAN,2019,NNS,"WFP. FAO. UNICEF, Government of South Sudan and FEWSNET",South Sudan Food Security and Nutrition Monitoring Report - Round 24,03695,3861,x,x,x,x,x
ESP,SPAIN,1987,Other,"Ministry of Health, Social Services and Equality (Spain), National Statistics Institute (Spain).",1987 Encuesta Nacional de Salud de España,03696,1068,x,x,x,x,x
ESP,SPAIN,1993,Other,"Ministry of Health, Social Services and Equality (Spain), National Statistics Institute (Spain)",1993 Encuesta Nacional de Salud de España,03697,1069,x,x,x,x,x
ESP,SPAIN,1995,Other,"Ministry of Health, Social Services and Equality (Spain), National Statistics Institute (Spain)",1995 Encuesta Nacional de Salud de España,03698,1070,x,x,x,x,x
ESP,SPAIN,1997,Other,"Ministry of Health, Social Services and Equality (Spain), National Statistics Institute (Spain)",1997 Encuesta Nacional de Salud de España,03699,1071,x,x,x,x,x
ESP,SPAIN,2001,Other,"Ministry of Health, Social Services and Equality (Spain), National Statistics Institute (Spain)",2001 Encuesta Nacional de Salud de España,03700,1072,x,x,x,x,x
ESP,SPAIN,2003,Other,"Ministry of Health, Social Services and Equality (Spain), National Statistics Institute (Spain)",2003 Encuesta Nacional de Salud de España,03701,1073,x,x,x,x,x
ESP,SPAIN,2006-2007,Other,"Ministry of Health, Social Services and Equality (Spain), National Statistics Institute (Spain)",2006-07 Encuesta Nacional de Salud de España,03702,1074,x,x,x,x,x
ESP,SPAIN,2011-2012,Other,"Ministry of Health, Social Services and Equality (Spain), National Statistics Institute (Spain)",2011-12 Encuesta Nacional de Salud de España,03703,1075,x,x,x,x,x
ESP,SPAIN,2014-2015,Other,"Cadenas-Sanchez C, Intemann T, Labayen I, Peinado AB, Vidal-Conti J, Sanchis-Moysi J, Moliner-Urdiales D, Rodriguez Perez MA, Cañete Garcia-Prieto J, Fernández-Santos JDR, Martinez-Tellez B, Vicente-Rodríguez G, Löf M, Ruiz JR, Ortega FB; PREFIT project g",Physical fitness reference standards for preschool children: The PREFIT project. J Sci Med Sport. 2019 Apr;22(4):430-437. doi: 10.1016/j.jsams.2018.09.227. Epub 2018 Sep 20. PMID: 30316738.,06736,4361,x,x,x,x,x
ESP,SPAIN,2016-2017,Other,"Ministry of Health, Social Services and Equality (Spain), National Statistics Institute (Spain)",2017 Encuesta Nacional de Salud de España,03704,2605,x,x,x,x,x
LKA,SRI LANKA,2010,NNS,"Ministry of Health, Sri Lanka",Sri Lanka 2010 Nutrition Month Survey,03705,4523,x,x,x,x,x
LKA,SRI LANKA,2011,NNS,"Ministry of Health, Sri Lanka",Sri Lanka 2011 Nutrition Month Survey,03706,4524,x,x,x,x,x
LKA,SRI LANKA,2012,NNS,"Ministry of Health, Sri Lanka",Sri Lanka 2012 Nutrition Month Survey,03707,4525,x,x,x,x,x
LKA,SRI LANKA,2013,NNS,"Ministry of Health, Sri Lanka",Sri Lanka 2013 Nutrition Month Survey,03708,4526,x,x,x,x,x
LKA,SRI LANKA,2014,NNS,"Ministry of Health, Sri Lanka",Sri Lanka 2014 Nutrition Month Survey,03709,4527,x,x,x,x,x
LKA,SRI LANKA,2015,NNS,"Ministry of Health, Sri Lanka",Sri Lanka 2015 Nutrition Month Survey,03710,4528,x,x,x,x,x
LKA,SRI LANKA,2016,NNS,"Ministry of Health, Sri Lanka",Sri Lanka 2016 Nutrition Month Survey,03711,4529,x,x,x,x,x
LKA,SRI LANKA,2017,NNS,"Ministry of Health, Sri Lanka",Sri Lanka 2017 Nutrition Month Survey,03712,4530,x,x,x,x,x
LKA,SRI LANKA,2018,NNS,Ministry of Health,Sri Lanka 2018 Nutrition Month Survey,03713,4531,x,x,x,x,x
PSE,STATE OF PALESTINE,2002,Other,"Al Quds University, Johns Hopkins University and Global Marketing Consulting Group (Ramallah).",Rapid nutritional assessment for West Bank and Gaza Strip. Executive summary,02969,767,,x,,x,
PSE,STATE OF PALESTINE,2007,Surveillance,"Nutrition Department, Primary Health Care and Public Health General Directorate, Ministry of Health, State of Palestine",Palestine National Nutrition Surveillance System 2007 Report,03714,3621,x,x,x,x,x
PSE,STATE OF PALESTINE,2012,Surveillance,"Nutrition Department, Primary Health Care and Public Health General Directorate, Ministry of Health, State of Palestine",Palestine National Nutrition Surveillance System 2012 Report,03715,893,x,x,x,x,x
PSE,STATE OF PALESTINE,2013,Other,"Nutrition Department, Primary Health Care and Public Health General Directorate, Ministry of Health, State of Palestine","Palestinian Micronutrient Survey (PMS) 2013, State of Palestine, 2014",03716,894,x,x,x,x,x
